Village,Département,Région,Year,Placement,latitude,longitude
Saint-Cirq-Lapopie,Lot,Midi-Pyrénées,2012,1,44.4647712,1.6687454
Saint-Guilhem-le-Désert,Hérault,Languedoc-Roussillon,2012,2,43.734,3.54852
Barfleur,Manche,Basse-Normandie,2012,3,49.6706815,-1.2644272
Salers,Cantal,Auvergne,2012,4,45.1385878,2.4943427
Yvoire,Haute-Savoie,Rhône-Alpes,2012,5,46.3693298,6.3254513
Riquewihr,Haut-Rhin,Alsace,2012,6,48.1660766,7.298014
Beynac-et-Cazenac,Dordogne,Aquitaine,2012,7,44.8556037,1.1304516
Les Baux-de-Provence,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2012,8,43.7436458,4.7950342
Collonges-la-Rouge,Corrèze,Limousin,2012,9,45.0604597,1.6551231
Maroilles,Nord,Nord-Pas-de-Calais,2012,10,50.1343582,3.7613855
Angles-sur-l'Anglin,Vienne,Poitou-Charentes,2012,11,46.6954779,0.8844304
Piana,Corse-du-Sud,Corse,2012,12,42.2388671,8.6370569
Saint-Suliac,Ille-et-Vilaine,Bretagne,2012,13,48.5699597,-1.9733807
Montsoreau,Maine-et-Loire,Pays de la Loire,2012,14,47.2160026,0.0572035
Baume-les-Messieurs,Jura,Franche-Comté,2012,15,46.7085571,5.646694
Rodemack,Moselle,Lorraine,2012,16,49.4692285,6.2366263
Gerberoy,Oise,Picardie,2012,17,49.5359126,1.8493913
Le Bec-Hellouin,Eure,Haute-Normandie,2012,18,49.2312413,0.7210184
Essoyes,Aube,Champagne-Ardenne,2012,19,48.0574547,4.5347248
Apremont-sur-Allier,Cher,Centre,2012,20,46.9063966,3.0475108
Vézelay,Yonne,Bourgogne,2012,21,47.4657306,3.746285
La Roche-Guyon,Val-d'Oise,Île-de-France,2012,22,49.0810715,1.6305766
Eguisheim,Haut-Rhin,Alsace,2013,1,48.0447968,7.3079618
Locronan,Finistère,Bretagne,2013,2,48.0984894,-4.2077026
Sainte-Suzanne,Mayenne,Pays de la Loire,2013,3,48.1020178,-0.366835
Pérouges,Ain,Rhône-Alpes,2013,4,45.903428,5.1794607
Conques,Aveyron,Midi-Pyrénées,2013,5,44.5995543,2.3981666
Veules-les-Roses,Seine-Maritime,Haute-Normandie,2013,6,49.8722029,0.7990652
Talmont-sur-Gironde,Charente-Maritime,Poitou-Charentes,2013,7,45.5350413,-0.9072627
Flavigny-sur-Ozerain,Côte-d'Or,Bourgogne,2013,8,47.5115497,4.5305141
Turenne,Corrèze,Limousin,2013,9,45.053482,1.5814221
Moustiers-Sainte-Marie,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,2013,10,43.8460089,6.2217604
Blesle,Haute-Loire,Auvergne,2013,11,45.3189631,3.1696593
Parfondeval,Aisne,Picardie,2013,12,49.7393774,4.1586172
Wissant,Pas-de-Calais,Nord-Pas-de-Calais,2013,13,50.8853828,1.6629024
Espelette,Pyrénées-Atlantiques,Aquitaine,2013,14,43.3411726,-1.448083
Pesmes,Haute-Saône,Franche-Comté,2013,15,47.2796,5.56743
Villefranche-de-Conflent,Pyrénées-Orientales,Languedoc-Roussillon,2013,16,42.5873137,2.3673177
Corbara,Haute-Corse,Corse,2013,17,42.613746,8.9061013
Lavardin,Loir-et-Cher,Centre,2013,18,47.7416956,0.8850628
Saint-Amand-sur-Fion,Marne,Champagne-Ardenne,2013,19,48.810394,4.6080101
La Perrière,Orne,Basse-Normandie,2013,20,48.4041,0.4467584
Saint-Quirin,Moselle,Lorraine,2013,21,48.6093971,7.0657188
